,BlockBk_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,CESSPOOL_Density_perAcre_Rank,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
283,1131,30.706496519054596,18,21.865833333333327,0.0,0.0,7.458367320664589,26.876166614413492,77.0470776797594,6.109760510245987,1.9949238170484007,7.879462013915845,100.0,0.0,10.891089108910897,66.0,66.0,86.53834569869144,12.642918207890148,0.0,High,1.0
303,1224,22.79528320598004,31,28.01564516129031,0.0,0.0,2.6175315791805502,47.696528775031595,30.919468691201132,7.970410640058732,1.7155112437863735,2.275377219369733,28.18580870913545,0.0,5.940594059405944,33.0,66.0,99.82845491419901,10.559200303021727,0.0,Low,3.0
304,1225,26.7420917447292,40,29.16823809523808,0.0,0.0,2.7248947883753982,14.562230394325596,26.613910277177165,24.304952555623274,1.6815726917407325,2.0922344783836344,31.342752069821024,47.5,5.940594059405946,33.0,66.0,99.82845491419901,43.113633591377294,0.0,Medium,2.0
307,1229,30.352742929614255,19,27.06285714285714,0.0,0.0,3.9732090470011827,48.03104639473677,40.28777824187319,4.4235941574241995,2.2914738084233917,3.0320360189658038,9.14863159122861,100.0,37.311099531005716,33.0,66.0,99.95485655636817,11.127304383943962,0.0,Medium,2.0
311,1234,32.49288174018728,62,22.56131720430107,0.0,49.193548387096776,2.955189082658423,20.046156402194008,25.861692542114813,27.71047241005094,1.8384404433904045,2.0573987504472244,38.44749299601532,100.0,5.9405940594059485,33.0,66.0,99.82845491419901,24.445350651122556,0.0,High,1.0
318,1272,20.195406458947964,103,30.515057790106287,0.0,0.0,17.168061685877323,2.333859448789891,10.122291321459267,3.641691698116156,74.976003771747,42.148452480857515,16.023647556220318,0.0,1.7398827261366947,56.067961165048544,27.553398058252426,15.817108229716103,25.019087410839962,1.0,Low,3.0
319,1273,15.669335780777024,14,42.82149659863944,0.0,0.0,3.8442004230798084,1.1575240447898043,9.164927095384192,6.230717359729799,10.292661463724551,8.729176502119318,19.490825813304347,0.0,7.001414427157001,63.642857142857146,33.0,14.382794519512586,30.950777102134364,1.0,Low,3.0
334,1356,29.940504427887333,13,44.74362637362637,0.0,0.0,14.107097821621961,7.143693202550903,31.169628764069248,11.844661714882522,9.734166668145507,8.59306444623698,13.975109292153272,0.0,57.425742574257434,100.0,100.0,54.544487763697965,25.766792224955182,1.0,Medium,2.0
335,1357,23.03510478721389,13,23.437838827838828,0.0,38.46153846153846,3.6908045170788575,1.5966473365849654,48.140276597977,27.71294186320081,1.9096884810852781,2.5135301172269617,16.308870075402623,0.0,7.539984767707541,7.615384615384615,100.0,81.34564779545104,8.288523138945244,0.0,Low,3.0
339,1394,30.90628346685618,15,33.284285714285716,0.0,0.0,9.206622360577283,6.164726957815157,9.415547805394445,11.326144094800862,22.091025221784665,51.67090968861785,59.309559503763275,0.0,22.77227722772278,33.0,100.0,36.42910308732781,99.83033380760911,1.0,High,1.0
