,Uid,Elevation_m
524,-155.73986_19.10961,1011.8883667
525,-155.76590_19.09651,732.55847168
526,-155.78544_19.10573,730.0382080079999
527,-155.78521_19.11477,827.488647461
528,-155.80328_19.10214,628.387329102
529,-155.76538_19.11587,955.182312012
530,-155.75437_19.11688,1025.74987793
531,-155.76710_19.11615,941.3208007810001
532,-155.75229_19.08329,652.32989502
533,-155.76237_19.09538,749.3602294919999
534,-155.74485_19.09743,840.510009766
535,-155.74442_19.09703,836.309570313
536,-155.78021_19.11192,836.309570313
537,-155.76983_19.10169,772.46270752
538,-155.79770_19.09871,628.387329102
539,-155.79666_19.09923,634.6879882809999
540,-155.65883_19.04186,485.99206543
541,-155.77016_19.10265,783.8039550779998
542,-155.78000_19.12214,947.6215209960001
543,-155.58302_19.06011,199.521362305
544,-155.74197_19.11534,1067.75439453
545,-155.75311_19.08818,702.7352905270001
546,-155.63278_19.04940,417.52471923800005
547,-155.78047_19.10442,768.682312012
548,-155.76374_19.10663,856.0516967769998
549,-155.76350_19.09501,733.818603516
550,-155.76326_19.09437,730.878295898
551,-155.74871_19.09795,848.070861816
552,-155.74915_19.09727,832.529174805
553,-155.74498_19.12890,1204.6890869100002
554,-155.77241_19.11221,874.113647461
555,-155.79639_19.09414,595.203735352
556,-155.77785_19.12052,939.220581055
557,-155.77267_19.08783,635.1080322270001
558,-155.76173_19.09695,763.641784668
559,-155.79141_19.10980,752.7206420899998
560,-155.74755_19.09242,771.202575684
561,-155.77200_19.12777,1037.5111084
562,-155.72133_19.14048,1340.3635253900004
563,-155.72182_19.14032,1343.7238769500002
564,-155.75323_19.09193,752.7206420899998
565,-155.74382_19.09886,862.352355957
566,-155.77857_19.13315,1079.93566895
567,-155.78095_19.08892,620.4064331049998
568,-155.74494_19.10193,898.0562133789999
569,-155.78162_19.10162,719.1170043950002
570,-155.78174_19.10193,723.737487793
571,-155.77191_19.12948,1058.09338379
572,-155.77198_19.12856,1049.69238281
573,-155.74072_19.11193,1039.19128418
574,-155.77843_19.11267,847.230712891
575,-155.77786_19.11302,852.6913452149998
576,-155.63646_19.03956,375.9402771
577,-155.80062_19.09925,619.5663452150002
578,-155.74327_19.10812,981.2250976560001
579,-155.75824_19.10241,844.7104492189999
580,-155.78765_19.05586,350.3175354
581,-155.75336_19.12514,1126.140625
582,-155.77408_19.09186,670.391784668
583,-155.77395_19.09149,668.2915649409999
584,-155.75558_19.11968,1050.11242676
585,-155.75519_19.11990,1057.2532959
586,-155.78160_19.12664,994.246459961
587,-155.75157_19.14315,1323.56176758
588,-155.78497_19.12228,931.659790039
589,-155.57530_19.06396,184.81979370099998
590,-155.63131_19.04421,361.658721924
591,-155.77455_19.09637,711.556213379
592,-155.79345_19.11209,762.8016967769998
593,-155.78096_19.05879,372.999938965
594,-155.78264_19.11525,851.8512573239999
595,-155.78742_19.10654,729.618164063
596,-155.75947_19.12139,1033.73071289
597,-155.78917_19.09299,609.4852905270001
598,-155.76898_19.10267,785.904174805
599,-155.74715_19.09123,756.501037598
600,-155.75050_19.10817,943.8410644530001
601,-155.75593_19.11151,941.740844727
602,-155.75368_19.10569,903.936828613
603,-155.75810_19.08348,645.6091308590001
604,-155.79140_19.09319,604.8648071289998
605,-155.48177_19.20290,295.711669922
606,-155.76022_19.10025,810.266784668
607,-155.78311_19.11014,798.925598145
608,-155.78318_19.11032,800.6057739260001
609,-155.76959_19.10436,800.6057739260001
610,-155.77584_19.11073,849.751037598
611,-155.75105_19.09798,838.829833984
612,-155.78063_19.11419,859.4120483399998
613,-155.77702_19.11654,903.516784668
614,-155.77715_19.11692,903.936828613
615,-155.81167_19.05397,254.967300415
616,-155.76290_19.12632,1069.43457031
617,-155.77879_19.11397,861.512268066
618,-155.77093_19.10244,780.863647461
619,-155.77575_19.12488,981.645141602
620,-155.78702_19.10038,684.673339844
621,-155.76494_19.14289,1255.5145263699997
622,-155.86935_19.19793,503.213897705
623,-155.76991_19.14204,1226.95141602
624,-155.74576_19.09960,870.753234863
625,-155.75568_19.13159,1180.32641602
626,-155.75530_19.08664,684.253295898
627,-155.77290_19.10462,796.405273438
628,-155.75366_19.14449,1326.0820312499998
629,-155.76952_19.12171,999.707092285
630,-155.76464_19.08542,636.7882080080001
631,-155.88171_19.20601,353.67788696300005
632,-155.74400_19.10123,893.015625
633,-155.74376_19.10130,894.275756836
634,-155.75907_19.13745,1219.390625
635,-155.78261_19.12039,913.597839355
636,-155.80129_19.09919,621.6665649409999
637,-155.76971_19.09378,699.7949218750001
638,-155.75938_19.12266,1050.5324707
639,-155.74495_19.10943,987.105712891
640,-155.79851_19.10433,663.6710815430001
641,-155.60886_19.04232,213.38285827599998
642,-155.79249_19.09291,599.82421875
643,-155.74800_19.11788,1063.13391113
644,-155.74480_19.14792,1401.2701416
645,-155.75347_19.10334,880.414306641
646,-155.77096_19.08755,641.408691406
647,-155.74517_19.09910,865.71270752
648,-155.74586_19.09834,856.471740723
649,-155.72066_19.14052,1342.0437011699996
650,-155.73210_19.11750,1097.99755859
651,-155.73245_19.11846,1106.81860352
652,-155.73288_19.11778,1100.51782227
653,-155.75399_19.10157,858.1519165039999
654,-155.58143_19.06194,199.941421509
