,Uid,In_WellCZ_C
490,-155.96575_19.69751,True
491,-155.95991_19.69668,True
492,-155.96274_19.69832,True
493,-155.95802_19.69655,True
494,-155.96579_19.69858,True
495,-155.97789_19.70953,True
496,-155.95890_19.70692,True
497,-155.97255_19.69500,True
498,-155.96754_19.69328,True
499,-155.96639_19.69491,True
500,-155.96757_19.69591,True
501,-155.96942_19.69793,True
502,-155.97043_19.69858,True
503,-155.96985_19.69919,True
504,-155.97089_19.69949,True
505,-155.96943_19.70102,True
506,-155.97196_19.70059,True
507,-155.96324_19.69895,True
508,-155.94502_19.70547,True
509,-155.97291_19.70116,True
510,-155.97208_19.69886,True
511,-155.96214_19.70206,True
512,-155.96295_19.70228,True
513,-155.96262_19.70310,True
514,-155.96039_19.70363,True
515,-155.96138_19.70287,True
516,-155.96337_19.70681,True
517,-155.96259_19.70747,True
518,-155.96189_19.70546,True
519,-155.96227_19.70480,True
520,-155.96380_19.70329,True
521,-155.96301_19.70408,True
522,-155.96177_19.70399,True
523,-155.95538_19.69839,True
524,-155.96840_19.69844,True
525,-155.97150_19.69564,True
526,-155.96584_19.69563,True
527,-155.96757_19.69772,True
528,-155.97283_19.69561,True
529,-155.96792_19.70428,True
530,-155.96615_19.70358,True
531,-155.96627_19.70498,True
532,-155.97038_19.69569,True
533,-155.98301_19.73240,True
534,-155.98351_19.73242,True
535,-155.98345_19.73213,True
536,-155.98350_19.73184,True
537,-155.98111_19.72949,True
538,-155.97877_19.73827,True
539,-155.97892_19.73804,True
540,-155.97939_19.73731,True
541,-155.98004_19.73750,True
542,-155.98287_19.73829,True
543,-155.98242_19.73961,True
544,-155.97954_19.73468,True
545,-155.98135_19.72233,True
546,-155.97809_19.72679,True
547,-155.98018_19.73899,True
548,-155.98165_19.72872,True
549,-155.98207_19.72869,True
550,-155.98248_19.72871,True
551,-155.98184_19.72295,True
552,-155.97634_19.72707,True
553,-155.97577_19.72712,True
554,-155.98077_19.72647,True
555,-155.97604_19.71781,True
556,-155.97826_19.73593,True
557,-155.98113_19.72531,True
558,-155.98102_19.71755,True
559,-155.98286_19.73927,True
560,-155.98085_19.73776,True
561,-155.97748_19.71682,True
562,-155.97863_19.71941,True
563,-155.97945_19.72186,True
564,-155.98105_19.72873,True
565,-155.98145_19.72870,True
566,-155.98158_19.72903,True
567,-155.98159_19.72924,True
568,-155.98162_19.72949,True
569,-155.98161_19.72973,True
570,-155.98162_19.72997,True
571,-155.98195_19.72997,True
572,-155.98195_19.72972,True
573,-155.98193_19.72945,True
574,-155.98198_19.72923,True
575,-155.98197_19.72902,True
576,-155.98188_19.72872,True
577,-155.97740_19.73959,True
578,-155.98168_19.72732,True
579,-155.98215_19.73952,True
580,-155.98084_19.73199,True
581,-155.98178_19.73235,True
582,-155.98172_19.73208,True
583,-155.98177_19.73179,True
584,-155.98220_19.73180,True
585,-155.98223_19.73209,True
586,-155.97798_19.71880,True
587,-155.97760_19.73824,True
588,-155.97732_19.73803,True
589,-155.98199_19.72638,True
590,-155.97758_19.72381,True
591,-155.97521_19.72718,True
592,-155.98057_19.72232,True
593,-155.97993_19.72352,True
594,-155.98047_19.72355,True
595,-155.98035_19.71908,True
596,-155.98108_19.72234,True
597,-155.98028_19.72995,True
598,-155.98028_19.72972,True
599,-155.98026_19.72947,True
600,-155.98030_19.72925,True
601,-155.98029_19.72904,True
602,-155.98051_19.73820,True
603,-155.98259_19.73210,True
604,-155.98263_19.73181,True
605,-155.98307_19.73183,True
606,-155.98309_19.73212,True
607,-155.97780_19.71840,True
608,-155.97626_19.72280,True
609,-155.97539_19.71778,True
610,-155.98317_19.73107,True
611,-155.98215_19.73236,True
612,-155.98264_19.73238,True
613,-155.98095_19.72757,True
614,-155.98163_19.72675,True
615,-155.98213_19.73901,True
616,-155.98256_19.73866,True
617,-155.98168_19.73850,True
618,-155.98084_19.73826,True
619,-155.98182_19.73458,True
620,-155.98192_19.73609,True
621,-155.97328_19.72310,True
622,-155.97747_19.73746,True
623,-155.97957_19.73793,True
624,-155.97922_19.73844,True
625,-155.97871_19.71730,True
626,-155.98232_19.72494,True
627,-155.98114_19.72903,True
628,-155.97574_19.72820,True
629,-155.97964_19.72761,True
630,-155.98004_19.72629,True
631,-155.97936_19.72561,True
632,-155.98331_19.73138,True
633,-155.98304_19.73138,True
634,-155.97944_19.72312,True
635,-155.97867_19.72313,True
636,-155.97834_19.73757,True
637,-155.98044_19.71803,True
638,-155.97982_19.71797,True
639,-155.97985_19.71901,True
640,-155.97941_19.71895,True
641,-155.97898_19.71890,True
642,-155.97853_19.71887,True
643,-155.97862_19.71845,True
644,-155.98281_19.73078,True
645,-155.98281_19.73103,True
646,-155.98276_19.73133,True
647,-155.98042_19.72741,True
648,-155.98319_19.73055,True
649,-155.98320_19.73029,True
650,-155.97679_19.71778,True
651,-155.97627_19.72206,True
652,-155.98064_19.73367,True
653,-155.98072_19.73489,True
654,-155.98236_19.73297,True
655,-155.98008_19.73792,True
656,-155.98031_19.73774,True
657,-155.98056_19.73766,True
658,-155.97895_19.73879,True
659,-155.97836_19.73852,True
660,-155.97829_19.71726,True
661,-155.98007_19.73199,True
662,-155.98142_19.72035,True
663,-155.97839_19.74101,True
664,-155.97894_19.71779,True
665,-155.97853_19.71797,True
666,-155.97796_19.71809,True
667,-155.97763_19.73897,True
668,-155.98051_19.72532,True
669,-155.98021_19.72874,True
670,-155.98062_19.72871,True
671,-155.98075_19.72903,True
672,-155.98075_19.72924,True
673,-155.98161_19.72603,True
674,-155.98102_19.72421,True
675,-155.97993_19.72419,True
676,-155.98041_19.72871,True
677,-155.98082_19.72874,True
678,-155.98124_19.72870,True
679,-155.98113_19.72973,True
680,-155.98022_19.72002,True
681,-155.98092_19.71949,True
682,-155.97883_19.71997,True
683,-155.98027_19.71945,True
684,-155.98241_19.72925,True
685,-155.98245_19.72949,True
686,-155.98243_19.72974,True
687,-155.98243_19.72997,True
688,-155.98273_19.72980,True
689,-155.98273_19.72949,True
690,-155.98279_19.72922,True
691,-155.98279_19.72901,True
692,-155.98270_19.72871,True
693,-155.97047_19.72728,True
694,-155.98228_19.72869,True
695,-155.98241_19.72903,True
696,-155.98252_19.72632,True
697,-155.98254_19.72728,True
698,-155.98307_19.72993,True
699,-155.98220_19.72531,True
700,-155.97796_19.72742,True
701,-155.97736_19.72679,True
702,-155.97724_19.72731,True
703,-155.97677_19.72709,True
704,-155.98162_19.72657,True
705,-155.98113_19.72621,True
706,-155.97637_19.72769,True
707,-155.97514_19.72809,True
708,-155.97906_19.73650,True
709,-155.98035_19.73703,True
710,-155.97985_19.73567,True
711,-155.98113_19.72996,True
712,-155.98101_19.72151,True
713,-155.98050_19.72637,True
714,-155.98242_19.72835,True
715,-155.98204_19.72820,True
716,-155.98079_19.72502,True
717,-155.98282_19.73028,True
718,-155.98281_19.73053,True
719,-155.96856_19.72721,True
720,-155.98041_19.71874,True
721,-155.98091_19.71881,True
722,-155.97923_19.72777,True
723,-155.98089_19.72000,True
724,-155.98055_19.72001,True
725,-155.97923_19.72795,True
726,-155.98087_19.71914,True
727,-155.98142_19.72069,True
728,-155.98140_19.72186,True
729,-155.98147_19.72123,True
730,-155.98143_19.72158,True
731,-155.98184_19.73388,True
732,-155.97923_19.72813,True
733,-155.97744_19.72800,True
734,-155.97699_19.72801,True
735,-155.97639_19.72815,True
736,-155.97564_19.72774,True
737,-155.98086_19.72088,True
738,-155.97820_19.71844,True
739,-155.96503_19.74292,True
740,-155.97950_19.72970,True
741,-155.96515_19.74820,True
742,-155.97145_19.75681,True
743,-155.83825_19.81948,True
744,-155.14340_19.83204,True
745,-155.15191_19.85411,True
746,-155.12456_19.88862,True
747,-155.14085_19.87921,True
748,-155.13532_19.83621,True
749,-155.12516_19.88860,True
750,-155.82039_20.09819,True
751,-155.81941_20.10017,True
752,-155.81863_20.10142,True
753,-155.81821_20.10205,True
754,-155.81823_20.10425,True
755,-155.82101_20.10103,True
756,-155.81436_20.10822,True
757,-155.81431_20.10742,True
758,-155.81564_20.10646,True
759,-155.81712_20.10513,True
760,-155.81633_20.10363,True
761,-155.81488_20.10233,True
762,-155.81558_20.10552,True
763,-155.81200_20.10172,True
764,-155.81160_20.10047,True
765,-155.81692_20.09747,True
766,-155.81827_20.09682,True
767,-155.81934_20.09669,True
768,-155.79410_20.10052,True
769,-155.82136_20.10296,True
770,-155.81372_20.10178,True
771,-155.81448_20.10094,True
772,-155.82029_20.10083,True
773,-155.81992_20.10476,True
774,-155.81102_20.09108,True
775,-155.65598_20.02862,True
776,-155.65538_20.02886,True
777,-155.65547_20.02904,True
778,-155.65576_20.02829,True
779,-155.65587_20.02846,True
780,-155.65609_20.02878,True
781,-155.65524_20.02746,True
782,-155.81011_20.09848,True
783,-155.81413_20.09220,True
784,-155.82146_20.10436,True
785,-155.82000_20.10230,True
786,-155.66124_20.02761,True
787,-155.66263_20.02665,True
788,-155.66234_20.02682,True
789,-155.66208_20.02649,True
790,-155.65688_20.02656,True
791,-155.65955_20.02593,True
792,-155.65735_20.02806,True
793,-155.65676_20.02768,True
794,-155.65639_20.02789,True
795,-155.65607_20.02801,True
796,-155.65584_20.02764,True
797,-155.65640_20.02719,True
798,-155.65657_20.02735,True
799,-155.65592_20.02714,True
800,-155.65558_20.02725,True
