,Uid,dist2_Wetlands_m
217,-155.75170_19.11706,7624.266527093455
218,-155.75810_19.13075,7351.958476102158
219,-155.58672_19.06111,4850.777268131072
220,-155.58690_19.06177,4823.936667052901
221,-155.77278_19.09712,8086.551055876656
222,-155.86711_19.29584,8879.761661740533
223,-155.77237_19.10121,7830.962141675327
224,-155.77618_19.10581,7202.466214839199
225,-155.76393_19.12652,7325.173652657066
226,-155.77254_19.09565,8213.71527049639
227,-155.89696_19.20889,6266.133651870738
228,-155.77752_19.12814,5906.6682814263095
229,-155.56573_19.06895,2618.246287996116
230,-155.47578_19.20339,5571.4383076266
231,-155.47651_19.20358,5517.526798437995
232,-155.90202_19.20329,6929.081746509046
233,-155.90290_19.20333,7017.396834499745
234,-155.90304_19.20353,7025.289682833889
235,-155.75724_19.11577,8168.135415413887
236,-155.75330_19.13589,6648.816909407439
237,-155.75375_19.08469,8732.660002270386
238,-155.63056_19.04418,8051.987974118413
239,-155.76806_19.08589,8961.989131595683
240,-155.90750_19.18222,8375.965747082304
241,-155.75575_19.10268,8629.361956446823
242,-155.77107_19.10850,7472.939172344873
243,-155.77191_19.11083,7260.737569083364
244,-155.74539_19.12482,6569.422263977902
245,-155.75949_19.14969,6807.812793146559
246,-155.74177_19.12988,5930.227860923737
247,-155.75180_19.08121,8648.953969665137
248,-155.78449_19.12032,5587.208879908997
249,-155.74764_19.08777,8023.26396141499
250,-155.74847_19.08626,8150.564477191546
251,-155.89906_19.20742,6516.620074119587
252,-155.77517_19.09489,8066.092231584423
253,-155.90465_19.20373,7183.420219548047
254,-155.90480_19.20364,7201.075920498039
255,-155.90503_19.20339,7231.235900435244
256,-155.73188_19.13113,5025.97707989255
257,-155.73199_19.13145,5011.913904094394
258,-155.88113_19.20737,4694.652557746431
259,-155.75910_19.08624,9234.02533514974
260,-155.75226_19.10615,8255.107726918715
261,-155.75168_19.10634,8194.365289727137
262,-155.75156_19.10597,8180.572583578378
263,-155.73831_19.12813,5757.424614878985
264,-155.77563_19.06201,6236.827311472303
265,-155.74349_19.10436,7333.902812619572
266,-155.74342_19.10418,7327.079393528615
267,-155.89931_19.20604,6576.781084666319
268,-155.78280_19.12661,5444.904091824236
269,-155.62678_19.05496,6825.053626342554
270,-155.74092_19.10926,7071.173624605993
271,-155.76515_19.08167,8676.980556969485
272,-155.78403_19.10485,6633.142839335553
273,-155.78440_19.10474,6613.258975802006
274,-155.78477_19.10462,6593.518986140904
