,Uid,nrcs_DtoBrock,nrcs_FloodFreq,nrcs_septic_dominant,nrcs_septic_least,nrcs_septic_most,nrcs_ksat_hi,nrcs_ksat_lo,nrcs_ksat_rep,nrcs_rockFrag3in
166,-155.78096_19.12601,76.0,None,Very limited,Very limited,Very limited,205.9286,43.7266,124.7753,35.1875
167,-155.76301_19.09707,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
168,-155.76998_19.13221,100.0,None,Very limited,Very limited,Very limited,277.5913571428572,61.096357142857144,169.29157142857144,35.625
169,-155.77022_19.13212,100.0,None,Very limited,Very limited,Very limited,277.5913571428572,61.096357142857144,169.29157142857144,35.625
170,-155.89962_19.20315,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
171,-155.73119_19.11879,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
172,-155.79000_19.06109,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
173,-155.74864_19.08447,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
174,-155.78108_19.08815,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
175,-155.78312_19.08835,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
176,-155.78244_19.08877,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
177,-155.89799_19.20501,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
178,-155.77903_19.09787,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
179,-155.75805_19.08521,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
180,-155.79366_19.10924,76.0,None,Very limited,Very limited,Very limited,205.9286,43.7266,124.7753,35.1875
181,-155.79495_19.10865,76.0,None,Very limited,Very limited,Very limited,205.9286,43.7266,124.7753,35.1875
182,-155.90136_19.20646,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
183,-155.47196_19.19937,76.0,None,Very limited,Somewhat limited,Very limited,130.4275,30.5025,80.90125,59.16666666666666
184,-155.77017_19.10606,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
185,-155.76872_19.13159,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
186,-155.89765_19.20633,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
187,-155.61010_19.04397,0.0,None,Very limited,Not rated,Very limited,120.02500000000002,31.10833333333333,66.34083333333334,70.5
188,-155.78383_19.09678,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
189,-155.77880_19.11729,76.0,None,Very limited,Very limited,Very limited,205.9286,43.7266,124.7753,35.1875
190,-155.75775_19.10443,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
191,-155.90103_19.20547,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
192,-155.74568_19.09332,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
193,-155.58261_19.06007,0.0,None,Very limited,Not rated,Very limited,120.02500000000002,31.10833333333333,66.34083333333334,70.5
194,-155.77905_19.09272,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
195,-155.89879_19.20453,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
196,-155.86855_19.28008,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
197,-155.76034_19.10066,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
198,-155.77569_19.10701,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
199,-155.77580_19.10733,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
200,-155.89826_19.20399,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
201,-155.89828_19.20415,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
202,-155.76227_19.10261,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
203,-155.74712_19.09924,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
204,-155.89818_19.20696,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
205,-155.76630_19.09527,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
