,Uid,BlockBk_ID
766,-155.67222_19.06298,2394
767,-155.77820_19.06910,4374
768,-155.76282_19.11172,3353
769,-155.76202_19.12837,2911
770,-155.75116_19.09715,4314
771,-155.78726_19.09753,1159
772,-155.75367_19.13693,2314
773,-155.76898_19.11490,3003
774,-155.76944_19.11503,3003
775,-155.76286_19.11872,849
776,-155.75380_19.10709,1831
777,-155.62954_19.03196,4000
778,-155.77156_19.08993,3810
779,-155.76457_19.09693,3865
780,-155.79712_19.10382,3802
781,-155.62382_19.04708,5032
782,-155.63664_19.03450,4519
783,-155.77285_19.14666,690
784,-155.60964_19.04248,6564
785,-155.74077_19.12293,852
786,-155.74088_19.12325,852
787,-155.75330_19.08450,3006
788,-155.80146_19.10157,2837
789,-155.75588_19.14297,6641
790,-155.76957_19.09005,3810
791,-155.64372_19.04207,5835
792,-155.74342_19.11049,4826
793,-155.78613_19.09218,2784
794,-155.76056_19.11337,2849
795,-155.76153_19.08306,3814
796,-155.63365_19.03903,4827
797,-155.76479_19.08937,1164
798,-155.76160_19.08550,4318
799,-155.75101_19.09337,3414
800,-155.79493_19.09963,2836
801,-155.74602_19.15352,323
802,-155.50544_19.13356,3174
803,-155.76175_19.13731,93
804,-155.75985_19.13774,93
805,-155.77711_19.13262,94
806,-155.74060_19.15283,5765
807,-155.75226_19.09996,3366
808,-155.75239_19.10033,3366
809,-155.64434_19.07384,2394
810,-155.78221_19.09575,6557
811,-155.77170_19.14281,2922
812,-155.77296_19.09191,3810
813,-155.78263_19.10772,4573
814,-155.74356_19.11633,5599
815,-155.74683_19.10028,1832
816,-155.74590_19.10112,1832
817,-155.77851_19.09902,2840
818,-155.78251_19.10293,1161
819,-155.78244_19.10275,1161
820,-155.75998_19.09216,5081
821,-155.75949_19.09232,5081
822,-155.75376_19.11521,2847
823,-155.75351_19.11567,2847
824,-155.75414_19.11625,2847
825,-155.73801_19.11987,2005
826,-155.84886_19.14567,7347
827,-155.78610_19.10309,3570
